"","cruise_int","Date_M","Lat_M","Lon_M","date","year","X","mean.sst","stdev.sst","n","satellite.date","requested.lon.min","requested.lon.max","requested.lat.min","requested.lat.max","requested.date","median.sst","mad.sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"1",1.119,20051123,27.3440528,-111.81303248,2005-11-23,"2005",1,22.8700008392334,0,4,"2005-11-23 12:00:00",-111.91303248,-111.71303248,27.2440528,27.4440528,13110,22.8700008392334,0,0.799000024795532,0,2,"2005-11-23 12:00:00",-111.91303248,-111.71303248,27.2440528,27.4440528,13110,0.799000024795532,0
"2",1.1191,20051123,27.33886393,-111.82108239,2005-11-23,"2005",2,22.8700008392334,0,7,"2005-11-23 12:00:00",-111.92108239,-111.72108239,27.23886393,27.43886393,13110,22.8700008392334,0,0.485250009223819,0.290103814011484,8,"2005-11-23 12:00:00",-111.92108239,-111.72108239,27.23886393,27.43886393,13110,0.44650000333786,0.375097809013724
"3",1.1192,20051123,27.33363482,-111.82918456,2005-11-23,"2005",3,22.8700008392334,0,7,"2005-11-23 12:00:00",-111.92108239,-111.72108239,27.23886393,27.43886393,13110,22.8700008392334,0,0.485250009223819,0.290103814011484,8,"2005-11-23 12:00:00",-111.92108239,-111.72108239,27.23886393,27.43886393,13110,0.44650000333786,0.375097809013724
"4",1.1193,20051123,27.32828047,-111.83735612,2005-11-23,"2005",4,22.8700008392334,0,8,"2005-11-23 12:00:00",-111.93735612,-111.73735612,27.22828047,27.42828047,13110,22.8700008392334,0,0.399687502533197,0.371807796749119,16,"2005-11-23 12:00:00",-111.93735612,-111.73735612,27.22828047,27.42828047,13110,0.204999998211861,0.0889559924885631
"5",1.1194,20051123,27.32294168,-111.84556828,2005-11-23,"2005",5,22.8700008392334,0,8,"2005-11-23 12:00:00",-111.94556828,-111.74556828,27.22294168,27.42294168,13110,22.8700008392334,0,0.352000002350126,0.373171039450459,14,"2005-11-23 12:00:00",-111.94556828,-111.74556828,27.22294168,27.42294168,13110,0.204999998211861,0.0340998028278351
"6",1.1195,20051123,27.31767157,-111.8537502,2005-11-23,"2005",6,22.8700008392334,0,6,"2005-11-23 12:00:00",-111.9537502,-111.7537502,27.21767157,27.41767157,13110,22.8700008392334,0,0.461560003757477,0.444542950068469,25,"2005-11-23 12:00:00",-111.9537502,-111.7537502,27.21767157,27.41767157,13110,0.301999986171722,0.269833216613531
"7",1.1196,20051123,27.31237242,-111.8618785,2005-11-23,"2005",7,22.8700008392334,0,6,"2005-11-23 12:00:00",-111.9618785,-111.7618785,27.21237242,27.41237242,13110,22.8700008392334,0,0.47925000389417,0.44502470688775,24,"2005-11-23 12:00:00",-111.9618785,-111.7618785,27.21237242,27.41237242,13110,0.321999996900558,0.223872600795329
"8",1.1197,20051123,27.30719189,-111.86999674,2005-11-23,"2005",8,22.8700008392334,0,6,"2005-11-23 12:00:00",-111.96999674,-111.76999674,27.20719189,27.40719189,13110,22.8700008392334,0,0.519454549659382,0.443382545352192,22,"2005-11-23 12:00:00",-111.96999674,-111.76999674,27.20719189,27.40719189,13110,0.342000007629395,0.223872600795329
"9",1.1198,20051123,27.3011923,-111.87654728,2005-11-23,"2005",9,22.8700008392334,0,2,"2005-11-23 12:00:00",-111.97654728,-111.77654728,27.2011923,27.4011923,13110,22.8700008392334,0,0.589709682810691,0.460139428235484,31,"2005-11-23 12:00:00",-111.97654728,-111.77654728,27.2011923,27.4011923,13110,0.483999997377396,0.306898181265593
"10",1.1199,20051123,27.29920255,-111.87400516,2005-11-23,"2005",10,22.8700008392334,0,2,"2005-11-23 12:00:00",-111.97654728,-111.77654728,27.2011923,27.4011923,13110,22.8700008392334,0,0.589709682810691,0.460139428235484,31,"2005-11-23 12:00:00",-111.97654728,-111.77654728,27.2011923,27.4011923,13110,0.483999997377396,0.306898181265593
