"","cruise_int","Date_M","Lat_M","Lon_M","date","year","mean sst","stdev sst","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sst","mad sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"1",4.2048,20100316,28.26752753,-112.74914888,2010-03-16,"2010",18.2558607700442,0.882450565978125,242,"2010-03-16 12:00:00",-112.84914888,-112.64914888,28.16752753,28.36752753,14684,18.6224994659424,0.845082961463928,10.6267302469368,21.3275329394384,267,"2010-03-16 12:00:00",-112.84914888,-112.64914888,28.16752753,28.36752753,14684,3.253666639328,2.17942204241753
"2",4.2049,20100316,28.25886747,-112.74625403,2010-03-16,"2010",18.2558607700442,0.882450565978125,242,"2010-03-16 12:00:00",-112.84914888,-112.64914888,28.16752753,28.36752753,14684,18.6224994659424,0.845082961463928,10.6267302469368,21.3275329394384,267,"2010-03-16 12:00:00",-112.84914888,-112.64914888,28.16752753,28.36752753,14684,3.253666639328,2.17942204241753
"3",4.205,20100316,28.25025584,-112.74334747,2010-03-16,"2010",18.4320547571144,0.804129328169431,249,"2010-03-16 12:00:00",-112.84334747,-112.64334747,28.15025584,28.35025584,14684,18.7200012207031,0.664696775436401,10.5926457573386,22.5358992523001,272,"2010-03-16 12:00:00",-112.84334747,-112.64334747,28.15025584,28.35025584,14684,3.14183330535889,1.92515601375103
"4",4.2051,20100316,28.24156511,-112.74043661,2010-03-16,"2010",18.5676388003962,0.73693628118523,246,"2010-03-16 12:00:00",-112.84043661,-112.64043661,28.14156511,28.34156511,14684,18.8166666030884,0.581920386886597,11.4161258684264,24.3725968256329,270,"2010-03-16 12:00:00",-112.84043661,-112.64043661,28.14156511,28.34156511,14684,3.25950002670288,2.06031990298033
"5",4.2052,20100316,28.23292021,-112.73756808,2010-03-16,"2010",18.5676388003962,0.73693628118523,246,"2010-03-16 12:00:00",-112.84043661,-112.64043661,28.14156511,28.34156511,14684,18.8166666030884,0.581920386886597,11.4161258684264,24.3725968256329,270,"2010-03-16 12:00:00",-112.84043661,-112.64043661,28.14156511,28.34156511,14684,3.25950002670288,2.06031990298033
"6",4.2053,20100316,28.22435899,-112.734587,2010-03-16,"2010",18.7065911469636,0.649225491752771,243,"2010-03-16 12:00:00",-112.834587,-112.634587,28.12435899,28.32435899,14684,18.8833332061768,0.486789186859131,11.9221516798681,24.5138096021196,268,"2010-03-16 12:00:00",-112.834587,-112.634587,28.12435899,28.32435899,14684,3.31349980831146,2.17966877102852
"7",4.2054,20100316,28.21559011,-112.73154947,2010-03-16,"2010",18.8341631094615,0.565029322111446,240,"2010-03-16 12:00:00",-112.83154947,-112.63154947,28.11559011,28.31559011,14684,18.9733333587646,0.408950198364258,12.3249216321716,24.6179347190456,266,"2010-03-16 12:00:00",-112.83154947,-112.63154947,28.11559011,28.31559011,14684,3.43533337116241,2.47940126237869
"8",4.2055,20100316,28.20699144,-112.72867641,2010-03-16,"2010",18.8577347104512,0.537497645488904,252,"2010-03-16 12:00:00",-112.82867641,-112.62867641,28.10699144,28.30699144,14684,18.984167098999,0.417599131965637,11.0573846451614,23.5706198465619,276,"2010-03-16 12:00:00",-112.82867641,-112.62867641,28.10699144,28.30699144,14684,3.31349980831146,2.28592184643745
"9",4.2056,20100316,28.19812031,-112.72813467,2010-03-16,"2010",18.95386328125,0.475018319518298,250,"2010-03-16 12:00:00",-112.82813467,-112.62813467,28.09812031,28.29812031,14684,19.0408334732056,0.383622693443298,11.5547211941806,23.8585186594335,275,"2010-03-16 12:00:00",-112.82813467,-112.62813467,28.09812031,28.29812031,14684,3.31233334541321,2.40625983817577
"10",4.2057,20100316,28.18980198,-112.73178717,2010-03-16,"2010",19.0174713707789,0.425396083942573,233,"2010-03-16 12:00:00",-112.83178717,-112.63178717,28.08980198,28.28980198,14684,19.0749988555908,0.373118700027466,13.2667011132185,25.1216908992501,261,"2010-03-16 12:00:00",-112.83178717,-112.63178717,28.08980198,28.28980198,14684,3.31233334541321,2.43146415553093
"11",4.2058,20100316,28.18141436,-112.73554062,2010-03-16,"2010",19.0174713707789,0.425396083942573,233,"2010-03-16 12:00:00",-112.83178717,-112.63178717,28.08980198,28.28980198,14684,19.0749988555908,0.373118700027466,13.2667011132185,25.1216908992501,261,"2010-03-16 12:00:00",-112.83178717,-112.63178717,28.08980198,28.28980198,14684,3.31233334541321,2.43146415553093
"12",4.2059,20100316,28.17302516,-112.73922914,2010-03-16,"2010",19.085625885876,0.376863347837572,229,"2010-03-16 12:00:00",-112.83922914,-112.63922914,28.07302516,28.27302516,14684,19.1166667938232,0.37065,14.361794555372,26.4350471075133,258,"2010-03-16 12:00:00",-112.83922914,-112.63922914,28.07302516,28.27302516,14684,3.22099995613098,2.38327925963402
"13",4.206,20100316,28.16460597,-112.74290139,2010-03-16,"2010",19.1501376373427,0.34498982700299,224,"2010-03-16 12:00:00",-112.84290139,-112.64290139,28.06460597,28.26460597,14684,19.1674995422363,0.329881101608276,14.8982353458218,27.5382884413949,255,"2010-03-16 12:00:00",-112.84290139,-112.64290139,28.06460597,28.26460597,14684,3.07766652107239,2.18238685076237
"14",4.2061,20100316,28.15618668,-112.74665443,2010-03-16,"2010",19.2031075425923,0.298335085120547,203,"2010-03-16 12:00:00",-112.84665443,-112.64665443,28.05618668,28.25618668,14684,19.1983337402344,0.318759226226807,16.2302733932511,29.1541372341751,236,"2010-03-16 12:00:00",-112.84665443,-112.64665443,28.05618668,28.25618668,14684,3.22099995613098,2.43690004988909
"15",4.2205,20100316,28.28213991,-112.17940024,2010-03-16,"2010",18.1578396454921,0.894020865233594,287,"2010-03-16 12:00:00",-112.27940024,-112.07940024,28.18213991,28.38213991,14684,18.2000007629395,1.25650327377319,1.62734486652493,0.445970149666734,289,"2010-03-16 12:00:00",-112.27940024,-112.07940024,28.18213991,28.38213991,14684,1.59200000762939,0.559434502744675
"16",4.2206,20100316,28.27961166,-112.18916936,2010-03-16,"2010",18.3601916044016,0.889232859966145,287,"2010-03-16 12:00:00",-112.28916936,-112.08916936,28.17961166,28.37961166,14684,18.6975002288818,0.871026934432983,1.5442502857492,0.433579954110013,289,"2010-03-16 12:00:00",-112.28916936,-112.08916936,28.17961166,28.37961166,14684,1.40933334827423,0.452193098974228
"17",4.2207,20100316,28.27717941,-112.19884428,2010-03-16,"2010",18.4516520933671,0.8834645578314,286,"2010-03-16 12:00:00",-112.29884428,-112.09884428,28.17717941,28.37717941,14684,18.8749990463257,0.63010669670105,1.516592845991,0.435509000408752,289,"2010-03-16 12:00:00",-112.29884428,-112.09884428,28.17717941,28.37717941,14684,1.35833323001862,0.418587106847763
"18",4.2208,20100316,28.27487658,-112.20871683,2010-03-16,"2010",18.541342089469,0.868856826190873,285,"2010-03-16 12:00:00",-112.30871683,-112.10871683,28.17487658,28.37487658,14684,18.9449996948242,0.515203273773193,1.52852249166132,0.678567332539748,289,"2010-03-16 12:00:00",-112.30871683,-112.10871683,28.17487658,28.37487658,14684,1.33166658878326,0.385475809121132
