id,lat,lon,locality,month,year,sex,mat,ml,wgt,analysis_date,fullness,full_wgt,empty_wgt,content_wgt
150074,,,Sta. Rosalia,,2015,F,3,17.1,0.1098,10/1/15,3,1,0.76,0.24
150086,,,Sta. Rosalia,,2015,F,2,14.1,0.0654,10/1/15,3,0.93,0.58,0.35
150093,,,Sta. Rosalia,,2015,F,3,15.8,0.0843,10/1/15,4,3.41,0.84,2.57
150097,,,Sta. Rosalia,,2015,F,3,15.5,0.0816,10/1/15,2,0.68,0.56,0.12
151053,,,Sta. Rosalia,,2015,F,3,17.4,0.11,7/5/15,1,1.52,0.85,0.67
151054,,,Sta. Rosalia,,2015,F,5,18.9,0.16,7/5/15,3,1.59,0.75,0.84
151055,,,Sta. Rosalia,,2015,F,4,18,0.1259,7/5/15,4,3.57,0.83,2.74
151056,,,Sta. Rosalia,,2015,F,5,17.5,0.1185,7/5/15,3,1.99,1.17,0.82
151057,,,Sta. Rosalia,,2015,F,5,21.5,0.212,7/5/15,4,4.11,0.93,3.18
151058,,,Sta. Rosalia,,2015,F,5,19,0.152,7/5/15,3,1.65,,
151059,,,Sta. Rosalia,,2015,F,5,18.1,0.11,7/5/15,4,3.09,0.89,2.2
151060,,,Sta. Rosalia,,2015,F,5,23.3,0.29,7/5/15,2,3.02,1.21,1.81
151061,,,Sta. Rosalia,,2015,F,5,22.1,0.25,7/5/15,4,9.27,2.06,7.21
151062,,,Sta. Rosalia,,2015,F,1,11,0.0312,7/5/15,1,0.47,0.27,0.2
151063,,,Sta. Rosalia,,2015,,1,8.8,0.0146,7/5/15,3,0.25,0.19,0.06
151064,,,Sta. Rosalia,,2015,,1,8.3,0.013,7/5/15,1,0.2,0.17,0.03
061615_001,,,Sta. Rosalia,,2015,F,5,23,0.26,6/23/17,1,2.13,1.81,0.32
061615_002,,,Sta. Rosalia,,2015,F,5,20,0.17,6/23/17,3,1.52,0.83,0.69
061615_003,,,Sta. Rosalia,,2015,M,5,19.5,0.17,6/25/17,3,2.08,1.3,0.78
061615_004,,,Sta. Rosalia,,2015,F,4,18.5,0.13,6/25/17,3,2.3,1.38,0.92
061615_005,,,Sta. Rosalia,,2015,M,4,19,0.15,6/22/17,2,2.02,1.79,0.23
061615_006,,,Sta. Rosalia,,2015,F,5,23,0.25,6/25/17,2,3.04,2.56,0.48
061615_007,,,Sta. Rosalia,,2015,F,5,22,0.22,6/24/17,3,2.76,2.05,0.71
061615_008,,,Sta. Rosalia,,2015,F,5,22,0.23,6/24/17,2,2.66,2.03,0.63
061615_009,,,Sta. Rosalia,,2015,F,5,21.5,0.22,6/21/17,3,4.23,2.89,1.34
061615_011,,,Sta. Rosalia,,2015,F,5,22.5,0.24,6/21/17,4,4.89,2.63,2.26
061615_012,,,Sta. Rosalia,,2015,F,4,22,0.21,6/22/17,3,3.81,3.03,0.78
061615_013,,,Sta. Rosalia,,2015,M,5,20.5,0.2,6/22/17,2,2.18,1.62,0.56
061615_014,,,Sta. Rosalia,,2015,F,5,22,0.22,6/22/17,2,2.46,2.03,0.43
061615_015,,,Sta. Rosalia,,2015,F,5,22.5,0.25,6/25/17,3,2.67,2.08,0.59
061615_016,,,Sta. Rosalia,,2015,M,5,21.5,0.2,6/20/17,2,2.81,2.06,0.75
061615_017,,,Sta. Rosalia,,2015,M,5,20.5,0.18,6/22/17,3,2.39,1.8,0.59
061615_018,,,Sta. Rosalia,,2015,M,5,20.5,0.17,6/23/17,2,2.29,1.89,0.4
061615_019,,,Sta. Rosalia,,2015,M,5,20,0.15,6/22/17,3,1.22,0.9,0.32
061615_020,,,Sta. Rosalia,,2015,F,5,22,0.23,6/22/17,3,2.9,1.98,0.92
061615_021,,,Sta. Rosalia,,2015,F,5,20.5,0.18,6/20/17,2,2.07,1.79,0.28
061615_022,,,Sta. Rosalia,,2015,M,5,18.5,0.13,6/23/17,3,1.85,1.02,0.83
061615_023,,,Sta. Rosalia,,2015,F,5,21.5,0.21,6/24/17,3,2.92,1.94,0.98
061615_024,,,Sta. Rosalia,,2015,,5,21.5,0.21,6/22/17,3,2.47,1.64,0.83
061615_025,,,Sta. Rosalia,,2015,F,3,19.5,0.13,6/24/17,2,2.05,1.54,0.51
061615_026,,,Sta. Rosalia,,2015,M,5,19.5,0.13,6/25/17,3,2.2,1.11,1.09
061615_027,,,Sta. Rosalia,,2015,M,5,21.5,0.16,6/22/17,2,1.65,1.37,0.28
061615_028,,,Sta. Rosalia,,2015,M,5,19,0.15,6/20/17,3,1.59,1.25,0.34
061615_029,,,Sta. Rosalia,,2015,,5,22,0.21,6/24/17,,2.21,1.73,0.48
061615_030,,,Sta. Rosalia,,2015,F,5,22.5,0.21,6/23/17,2,2.2,1.93,0.27
061615_031,,,Sta. Rosalia,,2015,F,5,21,0.19,6/24/17,3,2.53,1.32,1.21
061615_032,,,Sta. Rosalia,,2015,F,3,18.5,0.13,6/23/17,2,2.34,1.87,0.47
062715_001,,,Sta. Rosalia,,2015,F,5,22,0.2,7/6/17,2,1.26,1.24,0.02
062715_002,,,Sta. Rosalia,,2015,F,5,20.5,0.2,7/6/17,2,1.16,1.07,0.09
062715_003,,,Sta. Rosalia,,2015,F,5,18.5,0.15,7/6/17,1,1.12,1.12,0
062715_004,,,Sta. Rosalia,,2015,F,4,18,0.15,7/6/17,3,1.32,0.95,0.37
062915_001,,,Sta. Rosalia,,2015,F,4,19.5,0.16,7/5/17,1,1.02,0.95,0.07
062915_002,,,Sta. Rosalia,,2015,F,3,18.5,0.15,7/5/17,4,8.05,1.9,6.15
062915_003,,,Sta. Rosalia,,2015,F,3,16.5,0.1,7/5/17,2,0.72,0.67,0.05
062915_004,,,Sta. Rosalia,,2015,F,2,16.2,0.08,7/5/17,1,0.77,0.77,0
062915_005,,,Sta. Rosalia,,2015,F,2,14,0.06,7/5/17,1,0.54,0.53,0.01
062915_006,,,Sta. Rosalia,,2015,F,2,14.3,0.06,7/5/17,4,1.26,0.61,0.65
062915_007,,,Sta. Rosalia,,2015,F,1,8,,7/5/17,2,0.62,0.29,0.33
062915_008,,,Sta. Rosalia,,2015,M,4,13,,7/5/17,2,0.43,0.38,0.05
063015_001,,,Ben,,2015,,1,7.5,0.01,7/14/17,4,0.21,0.05,0.16
063015_002,,,Ben,,2015,,1,7.5,0.01,7/14/17,4,0.1,0.03,0.07
063015_003,,,Ben,,2015,,1,8.5,0.01,7/14/17,4,0.37,0.16,0.21
063015_004,,,Ben,,2015,,1,7.6,0.01,7/14/17,3,0.12,0.06,0.06
063015_005,,,Ben,,2015,,1,6.4,0.01,7/14/17,3,0.13,0.08,0.05
063015_006,,,Ben,,2015,,1,11.5,0.01,7/14/17,1,0.27,0.27,0
070315_001,,,Sta. Rosalia,,2015,F,5,19.1,0.1457,7/6/17,1,0.91,0.84,0.07
070315_002,,,Sta. Rosalia,,2015,F,5,18.4,0.1585,7/5/17,4,3.23,1.53,1.7
070315_003,,,Sta. Rosalia,,2015,F,4,18.5,0.1456,7/6/17,1,1.3,1.12,0.18
070315_004,,,Sta. Rosalia,,2015,F,4,17.4,0.1254,7/6/17,1,0.89,0.86,0.03
070315_005,,,Sta. Rosalia,,2015,F,5,17.9,0.1356,6/29/17,3,0.87,0.74,0.13
070315_006,,,Sta. Rosalia,,2015,F,3,17.3,0.1142,7/6/17,4,2.17,0.98,1.19
070315_007,,,Sta. Rosalia,,2015,F,3,15.1,0.086,7/6/17,1,0.59,0.54,0.05
070315_008,,,Sta. Rosalia,,2015,F,4,18.2,0.1386,7/6/17,2,0.92,0.77,0.15
070315_009,,,Sta. Rosalia,,2015,F,4,17.3,0.1386,7/6/17,1,0.87,0.84,0.03
