id,squid_species,length_type,beak_div,item_length,standard_length,total_length,mantle_length,,,,,,,,
061615_024,Pterygioteuthis,URL,26,0.409448819,,,19.16582677,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,24,0.377952756,,,18.25307087,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,23,0.362204725,,,17.79669292,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,25,0.393700788,,,18.70944882,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,31,0.488188977,,,21.44771654,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,29,0.456692914,,,20.53496063,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,25,0.393700788,,,18.70944882,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,26,0.409448819,,,19.16582677,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,31,0.488188977,,,21.44771654,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,23,0.362204725,,,17.79669292,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,27,0.425196851,,,19.62220473,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,25,0.393700788,,,18.70944882,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,18,0.283464567,,,15.51480315,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,21,0.330708662,,,16.88393701,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,21,0.330708662,,,16.88393701,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,26,0.409448819,,,19.16582677,,,,,,,,
CAPEXII_040,Pterygioteuthis,URL,22,0.346456693,,,17.34031496,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,27,0.425196851,,,19.62220473,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,29,0.456692914,,,20.53496063,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,24,0.377952756,,,18.25307087,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,28,0.440944882,,,20.07858268,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,31,0.488188977,,,21.44771654,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,27,0.425196851,,,19.62220473,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,27,0.425196851,,,19.62220473,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,29,0.456692914,,,20.53496063,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,28,0.440944882,,,20.07858268,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,29,0.456692914,,,20.53496063,,,,,,,,
CAPEXII_081,Pterygioteuthis,URL,30,0.472440945,,,20.99133859,,,,,,,,
061615_002,Pterygioteuthis,URL,23,0.362204725,,,17.79669292,,,,,,,,
17E98_009,Pterygioteuthis,LRL,36,0.566929134,,,24.99937008,,,,,,,,
17E98_009,Pterygioteuthis,LRL,37,0.582677166,,,25.52157481,,,,,,,,
17E98_016,Pterygioteuthis,URL,35,0.551181103,,,23.27322835,,,,,,,,
17E98_016,Pterygioteuthis,URL,26,0.409448819,,,19.16582677,,,,,,,,
17E98_021,Pterygioteuthis,URL,26,0.409448819,,,19.16582677,,,,,,,,
CAPEXII_053,Pterygioteuthis,URL,16,0.251968504,,,14.60204725,,,,,,,,
CAPEXII_053,Pterygioteuthis,LRL,31,0.488188977,,,22.38834646,,,,,,,,
CAPEXII_084,Pterygioteuthis,URL,23,0.362204725,,,17.79669292,,,,,,,,
CAPEXII_084,Pterygioteuthis,URL,18,0.283464567,,,15.51480315,,,,,,,,
CAPEXI_085,Pterygioteuthis,LRL,28,0.440944882,,,20.82173229,,,,,,,,
CAPEXI_097,Pterygioteuthis,LRL,50,0.787401575,,,32.31023623,,,,,,,,
CAPEXI_070,Pterygioteuthis,URL,45,0.708661418,,,27.83700788,,,,,,,,
CAPEXI_027,Pterygioteuthis,LRL,25,0.393700788,,,19.25511811,,,,,,,,
CAPEXI_003,Pterygioteuthis,LRL,30,0.472440945,,,21.86614174,,,,,,,,
CAPEXI_106,Pterygioteuthis,URL,53,0.83464567,,,31.4880315,,,,,,,,
CAPEXI_187,Pterygioteuthis,URL,12,0.188976378,,,12.77653543,,,,,,,,
CAPEXII_079,Pterygioteuthis,LRL,30,0.472440945,,,21.86614174,,,,,,,,
061615_001,Pterygioteuthis,URL,12,0.188976378,,,12.77653543,,,,,,,,
061615_009,Pterygioteuthis,URL,31,0.488188977,,,21.44771654,,,,,,,,
061615_027,Pterygioteuthis,URL,27,0.425196851,,,19.62220473,,,,,,,,
CAPEXI_187,Pterygioteuthis,URL,11,0.173228347,,,12.32015748,,,,,,,,
CAPEXI_202,Pterygioteuthis,URL,11,0.173228347,,,12.32015748,,,,,,,,
17E98_021,Pterygioteuthis,URL,20,0.31496063,,,16.42755906,,,,,,,,
17E98_021,Pterygioteuthis,LRL,35,0.551181103,,,24.47716536,,,,,,,,
CAPEXII_090,Pterygioteuthis,URL,29,0.456692914,,,20.53496063,,,,,,,,
CAPEXII_090,Pterygioteuthis,URL,32,0.503937008,,,21.90409449,,,,,,,,
150086,Benthosema,R,46,1.4375,26.8436,32.6266875,,,,,,,,,
150093,Benthosema,R,65,2.03125,38.0862,47.47720625,,,,,,,,,
150093,Benthosema,R,65,2.03125,38.0862,47.47720625,,,,,,,,,
150093,Benthosema,R,59,1.84375,34.5359,42.78756875,,,,,,,,,
150093,Benthosema,R,56,1.75,32.7608,40.44275,,,,,,,,,
150093,Benthosema,R,62,1.9375,36.3111,45.1323875,,,,,,,,,
150093,Benthosema,R,62,1.9375,36.3111,45.1323875,,,,,,,,,
150093,Benthosema,R,55,1.71875,32.169,39.66114375,,,,,,,,,
150093,Benthosema,R,56,1.75,32.7608,40.44275,,,,,,,,,
150093,Benthosema,R,57,1.78125,33.3525,41.22435625,,,,,,,,,
150093,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
150093,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
150093,Benthosema,R,63,1.96875,36.9028,45.91399375,,,,,,,,,
150093,Benthosema,R,57,1.78125,33.3525,41.22435625,,,,,,,,,
150093,Benthosema,R,62,1.9375,36.3111,45.1323875,,,,,,,,,
150093,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
150093,Benthosema,R,63,1.96875,36.9028,45.91399375,,,,,,,,,
150093,Benthosema,R,55,1.71875,32.169,39.66114375,,,,,,,,,
150097,Benthosema,L,59,1.84375,34.5359,42.78756875,,,,,,,,,
151053,Benthosema,L,65,2.03125,38.0862,47.47720625,,,,,,,,,
151054,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
151055,Benthosema,R,62,1.9375,36.3111,45.1323875,,,,,,,,,
151055,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
151055,Benthosema,R,57,1.78125,33.3525,41.22435625,,,,,,,,,
151055,Benthosema,R,62,1.9375,36.3111,45.1323875,,,,,,,,,
151055,Benthosema,R,60,1.875,35.1276,43.569175,,,,,,,,,
151055,Benthosema,R,69,2.15625,40.4531,50.60363125,,,,,,,,,
151055,Benthosema,R,61,1.90625,35.7193,44.35078125,,,,,,,,,
151055,Benthosema,R,65,2.03125,38.0862,47.47720625,,,,,,,,,
