ref,monthly,year,month,date,locality,ml,wgt,sex,mat,prey,rostral,length,SL,TL,DML
1,1,1998,5,5/10/98,TORTUGA,20.5,240.1,M,2,Benthosema,,2.3,43.175,54.19902,
1,1,1998,5,5/10/98,TORTUGA,20.5,240.1,M,2,Benthosema,,1.9,35.601,44.19446,
2,2,1998,5,5/10/98,TORTUGA,27.5,480.2,F,4,Benthosema,,1.8,33.7075,41.69332,
2,2,1998,5,5/10/98,TORTUGA,27.5,480.2,F,4,Benthosema,,2.2,41.2815,51.69788,
2,2,1998,5,5/10/98,TORTUGA,27.5,480.2,F,4,Triphoturus,,0.7,34.0099,42.64166,
3,3,1995,11,11/10/95,Guaymas,77,,F,5,Pterygioteuthis,,0.4,,,19.464
3,3,1998,5,5/10/98,TORTUGA,17.6,144.8,F,1,Benthosema,,2,37.4945,46.6956,
4,4,1998,5,5/10/98,TORTUGA,21.4,199.8,M,1,Benthosema,,2,37.4945,46.6956,
4,4,1998,5,5/10/98,TORTUGA,21.4,199.8,M,1,Benthosema,,1.7,31.814,39.19218,
4,4,1998,5,5/10/98,TORTUGA,21.4,199.8,M,1,Benthosema,,2.1,39.388,49.19674,
9,5,1998,5,5/10/98,TORTUGA,21.1,235.3,F,2,Benthosema,,1.4,26.1335,31.68876,
9,5,1998,5,5/10/98,TORTUGA,21.1,235.3,F,2,Benthosema,,2,37.4945,46.6956,
9,5,1998,5,5/10/98,TORTUGA,21.1,235.3,F,2,Benthosema,,1.9,35.601,44.19446,
9,5,1998,5,5/10/98,TORTUGA,21.1,235.3,F,2,Benthosema,,2.1,39.388,49.19674,
10,,1998,5,5/10/98,TORTUGA,24.6,426.2,F,5,Pterygioteuthis,,0.5,,,22.78
11,6,1998,5,5/10/98,TORTUGA,25.6,406,M,2,Benthosema,,2,37.4945,46.6956,
11,#VALUE!,1998,5,5/10/98,TORTUGA,25.6,406,M,2,Triphoturus,,0.6,31.1577,38.69748,
11,#VALUE!,1998,5,5/10/98,TORTUGA,25.6,406,M,2,Triphoturus,,0.7,34.0099,42.64166,
12,7,1998,5,5/10/98,TORTUGA,25.3,446.7,F,2,Benthosema,,1.8,33.7075,41.69332,
13,13,1995,11,11/10/95,Guaymas,65,,M,,Pterygioteuthis,,0.6,,,26.096
13,#REF!,1998,5,5/10/98,TORTUGA,18.9,167.3,F,1,Benthosema,,2,37.4945,46.6956,
13,#REF!,1998,5,5/10/98,TORTUGA,18.9,167.3,F,1,Benthosema,,2,37.4945,46.6956,
14,#REF!,1998,5,5/10/98,TORTUGA,25.6,440.8,F,3,Benthosema,,1.6,29.9205,36.69104,
14,,1998,5,5/10/98,TORTUGA,25.6,440.8,F,3,Pterygioteuthis,,0.5,,,22.78
14,,1998,5,5/10/98,TORTUGA,25.6,440.8,F,3,Pterygioteuthis,,0.6,,,26.096
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.4,,,19.464
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.5,,,22.78
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.6,,,26.096
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.6,,,26.096
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.6,,,26.096
16,16,1995,11,11/10/95,Guaymas,61,,M,5,Pterygioteuthis,,0.6,,,26.096
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
17,17,1995,11,11/10/95,Guaymas,78,,F,3,Pterygioteuthis,,0.5,,,22.78
