"","mean sea_surface_temperature","stdev sea_surface_temperature","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sea_surface_temperature","mad sea_surface_temperature"
"1",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"2",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"3",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"4",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"5",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"6",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"7",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"8",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"9",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"10",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"11",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"12",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"13",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
"14",28.155,0.374766594028891,2,"1996-09-06 12:00:00",-112.35734,-112.15734,27.44568,27.24568,9745,28.155,0.392889000000022
