Ref,Monthly #,Date,Locality,ML,Weight,SEX,Mat Stage,prey,rostral ,Otolith length1,Otolith length2,Otolith length3,Otolith length4,Otolith length5,Otolith length6,Otolith length7,Otolith length8,Otolith length9,Otolith length10,Otolith length11,Otolith length12,Otolith length13,Otolith length14,Otolith length15,Otolith length16,Otolith length17,Otolith length18,Otolith length19,Otolith length20,Otolith length21,Otolith length22,Otolith length23,Otolith length24,Otolith length25,Otolith length26,Otolith length27,Otolith length28,Otolith length29,Otolith length30,Otolith length31,Otolith length32,Otolith length33,Otolith length34,Otolith length35,Otolith length36
182,2,3/5/96,Guaymas,55.4,5.5,H,II,Benthosema,,1.9,1.9,1.9,1.9,2.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,10,6/11/96,San Pedro,26,0.375,H,I,Benthosema,,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,20,6/16/96,San Pedro,24.2,0.3,H,II,Benthosema,,1.8,1.8,1.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,21,6/16/96,San Pedro,29.4,0.55,H,II,Benthosema,,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,1,9/6/96,Santa Rosalia,69.7,11.375,H,IV,Benthosema,,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,4,9/6/96,Santa Rosalia,67.4,11.5,H,III,Benthosema,,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,5,9/6/96,Santa Rosalia,69.1,9.025,M,V,Benthosema,,1.5,1.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,7,9/6/96,Santa Rosalia,69.8,13.55,H,III,Benthosema,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,8,9/6/96,Santa Rosalia,59,5.975,H,II,Benthosema,,2.4,1.9,2.1,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,9,9/6/96,Santa Rosalia,49.5,3.85,H,II,Benthosema,,2.1,2.1,2.1,2.3,1.9,2.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,10,9/6/96,Santa Rosalia,67.2,9.3,M,V,Benthosema,,1.8,1.8,1.9,1.9,1.4,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,12,9/6/96,Santa Rosalia,68,10.1,H,III,Benthosema,,2,2.1,2.2,2.2,2,2.2,2.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,15,9/6/96,Santa Rosalia,59.5,5.675,M,V,Benthosema,,1.1,1.2,1.5,1.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,17,9/6/96,Santa Rosalia,72.5,13.625,H,IV,Benthosema,,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,20,9/6/96,Santa Rosalia,73.6,12.95,H,V,Benthosema,,2.2,2.2,2.1,2.2,2.1,1.9,2.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,21,9/6/96,Santa Rosalia,49.5,3.225,M,V,Benthosema,,2.1,1.8,1.4,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,22,9/6/96,Santa Rosalia,50.2,3.675,M,III,Benthosema,,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,,9/6/96,Santa Rosalia,62.1,,H,II,Benthosema,,2,2.2,1.8,2.2,1.9,1.2,1.3,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,24,9/8/96,Santa Rosalia,61,6.475,H,II,Benthosema,,1.9,2,1.9,2.1,2,2.1,2.2,2.4,1.8,1.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,26,9/8/96,Santa Rosalia,62.5,6.825,H,II,Benthosema,,2,2.2,2.2,2.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,27,9/8/96,Santa Rosalia,58.1,5.375,M,IV,Benthosema,,2.2,1.8,2.2,2.1,2.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,28,9/8/96,Santa Rosalia,45.3,2.6,H,II,Benthosema,,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,1,10/16/96,Santa Rosalia,72.5,14.65,H,V,Benthosema,,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2,10/16/96,Santa Rosalia,61.2,6.225,M,V,Benthosema,,1.8,1.9,2,2.2,1.9,1.9,2,1.7,1.7,1.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,3,10/16/96,Santa Rosalia,68.8,9.325,M,V,Benthosema,,2.2,2.1,1.7,1.9,1.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,4,10/16/96,Santa Rosalia,70.7,11.4,H,III,Benthosema,,2.2,2.1,2.1,1.7,1.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,5,10/16/96,Santa Rosalia,58,5.5,M,V,Benthosema,,1.7,1.9,2.1,2,2.1,2.2,1.9,2,2.1,2.2,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,6,10/16/96,Santa Rosalia,60,5.8,H,III,Benthosema,,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,7,10/16/96,Santa Rosalia,53.1,4.125,H,II,Benthosema,,1.9,2,2.2,2,2.2,2.1,1.9,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,8,10/16/96,Santa Rosalia,57.1,4.475,H,II,Benthosema,,1.8,1.9,2,2,2.1,2.1,2,1.9,1.9,1.9,1.8,1.9,2,2.2,2.2,2.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,10,10/16/96,Santa Rosalia,66.2,8.225,H,III,Benthosema,,1.7,1.8,1.8,1.9,1.9,1.9,1.6,1.7,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,11,10/16/96,Santa Rosalia,78.6,15.325,H,V,Benthosema,,2.3,2.1,1.8,1.6,1.6,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,13,10/16/96,Santa Rosalia,61.8,7.68,H,III,Benthosema,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,14,10/16/96,Santa Rosalia,45.5,2.1,M,V,Benthosema,,1.7,2,2.2,2.1,2.1,2.2,1.8,1.9,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,15,10/16/96,Santa Rosalia,61.5,3.7,H,III,Benthosema,,1.6,1.7,1.9,1.9,1.6,1.6,1.8,1.4,1.3,1.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,17,10/16/96,Santa Rosalia,54.3,3.775,M,V,Benthosema,,2.3,2.1,2.2,2.1,2.1,2.1,2.1,2.2,2,1.9,2,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,19,10/16/96,Santa Rosalia,65.7,9.325,H,III,Benthosema,,2.2,1.7,1.6,1.8,1.5,1.4,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,21,10/16/96,Santa Rosalia,53.6,4.375,M,V,Benthosema,,1.6,1.7,1.8,1.9,1.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,25,10/16/96,Santa Rosalia,51.7,3.65,H,II,Benthosema,,2,2.1,1.9,2,1.8,2.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,26,10/16/96,Santa Rosalia,54,3.975,M,V,Benthosema,,2.3,2.2,2,2.1,2.2,2.5,1.9,1.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,27,10/16/96,Santa Rosalia,46.6,2.4,H,II,Benthosema,,1.7,2.3,2.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,28,10/16/96,Santa Rosalia,68,9.2,H,V,Benthosema,,1.8,1.9,2,2,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
