id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
150074,,,Sta. Rosalia,,2015,F,3,17.1,0.1098,070315_010
150086,,,Sta. Rosalia,,2015,F,2,14.1,0.0654,070315_022
150093,,,Sta. Rosalia,,2015,F,3,15.8,0.0843,070315_029
150097,,,Sta. Rosalia,,2015,F,3,15.5,0.0816,070315_033
151053,,,Sta. Rosalia,,2015,F,3,17.4,0.11,070115_001
151054,,,Sta. Rosalia,,2015,F,5,18.9,0.16,070115_002
151055,,,Sta. Rosalia,,2015,F,4,18,0.1259,070115_003
151056,,,Sta. Rosalia,,2015,F,5,17.5,0.1185,070115_004
151057,,,Sta. Rosalia,,2015,F,5,21.5,0.212,070115_005
151058,,,Sta. Rosalia,,2015,F,5,19,0.152,070115_006
151059,,,Sta. Rosalia,,2015,F,5,18.1,0.11,070115_007
151060,,,Sta. Rosalia,,2015,F,5,23.3,0.29,070115_008
151061,,,Sta. Rosalia,,2015,F,5,22.1,0.25,070115_009
151062,,,Sta. Rosalia,,2015,F,1,11,0.0312,070115_010
151063,,,Sta. Rosalia,,2015,NA,1,8.8,0.0146,070115_011
151064,,,Sta. Rosalia,,2015,NA,1,8.3,0.013,070115_012
061615_001,,,Sta. Rosalia,,2015,F,5,23.0,0.26,
061615_002,,,Sta. Rosalia,,2015,F,5,20.0,0.17,
061615_003,,,Sta. Rosalia,,2015,M,5,19.5,0.17,
061615_004,,,Sta. Rosalia,,2015,F,4,18.5,0.13,
061615_005,,,Sta. Rosalia,,2015,M,4,19.0,0.15,
061615_006,,,Sta. Rosalia,,2015,F,5,23.0,0.25,
061615_007,,,Sta. Rosalia,,2015,F,5,22.0,0.22,
061615_008,,,Sta. Rosalia,,2015,F,5,22.0,0.23,
061615_009,,,Sta. Rosalia,,2015,F,5,21.5,0.22,
061615_011,,,Sta. Rosalia,,2015,F,5,22.5,0.24,
061615_012,,,Sta. Rosalia,,2015,F,4,22.0,0.21,
061615_013,,,Sta. Rosalia,,2015,M,5,20.5,0.20,
061615_014,,,Sta. Rosalia,,2015,F,5,22.0,0.22,
061615_015,,,Sta. Rosalia,,2015,F,5,22.5,0.25,
061615_016,,,Sta. Rosalia,,2015,M,5,21.5,0.20,
061615_017,,,Sta. Rosalia,,2015,M,5,20.5,0.18,
061615_018,,,Sta. Rosalia,,2015,M,5,20.5,0.17,
061615_019,,,Sta. Rosalia,,2015,M,5,20.0,0.15,
061615_020,,,Sta. Rosalia,,2015,F,5,22.0,0.23,
061615_021,,,Sta. Rosalia,,2015,F,5,20.5,0.18,
061615_022,,,Sta. Rosalia,,2015,M,5,18.5,0.13,
061615_023,,,Sta. Rosalia,,2015,F,5,21.5,0.21,
061615_025,,,Sta. Rosalia,,2015,F,3,19.5,0.13,
061615_026,,,Sta. Rosalia,,2015,M,5,19.5,0.13,
061615_027,,,Sta. Rosalia,,2015,M,5,21.5,0.16,
061615_028,,,Sta. Rosalia,,2015,M,5,19.0,0.15,
061615_029,,,Sta. Rosalia,,2015,NA,5,22.0,0.21,
061615_024,,,Sta. Rosalia,,2015,NA,5,21.5,0.21,
061615_030,,,Sta. Rosalia,,2015,F,5,22.5,0.21,
061615_031,,,Sta. Rosalia,,2015,F,5,21.0,0.19,
061615_032,,,Sta. Rosalia,,2015,F,3,18.5,0.13,
062715_001,,,Sta. Rosalia,,2015,F,5,22,0.2,
062715_002,,,Sta. Rosalia,,2015,F,5,20.5,0.2,
062715_003,,,Sta. Rosalia,,2015,F,5,18.5,0.15,
062715_004,,,Sta. Rosalia,,2015,F,4,18,0.15,
062915_001,,,Sta. Rosalia,,2015,F,4,19.5,0.16,
062915_002,,,Sta. Rosalia,,2015,F,3,18.5,0.15,
062915_003,,,Sta. Rosalia,,2015,F,3,16.5,0.1,
062915_004,,,Sta. Rosalia,,2015,F,2,16.2,0.08,
062915_005,,,Sta. Rosalia,,2015,F,2,14,0.06,
062915_006,,,Sta. Rosalia,,2015,F,2,14.3,0.06,
062915_007,,,Sta. Rosalia,,2015,F,1,8,NA,
062915_008,,,Sta. Rosalia,,2015,M,4,13,NA,
063015_001,,,Ben,,2015,NA,1,7.5,0.01,
063015_002,,,Ben,,2015,NA,1,7.5,0.01,
063015_003,,,Ben,,2015,NA,1,8.5,0.01,
063015_004,,,Ben,,2015,NA,1,7.6,0.01,
063015_005,,,Ben,,2015,NA,1,6.4,0.01,
063015_006,,,Ben,,2015,NA,1,11.5,0.01,
070315_001,,,Sta. Rosalia,,2015,F,5,19.1,0.1457,
070315_002,,,Sta. Rosalia,,2015,F,5,18.4,0.1585,
070315_003,,,Sta. Rosalia,,2015,F,4,18.5,0.1456,
070315_004,,,Sta. Rosalia,,2015,F,4,17.4,0.1254,
070315_005,,,Sta. Rosalia,,2015,F,5,17.9,0.1356,
070315_006,,,Sta. Rosalia,,2015,F,3,17.3,0.1142,
070315_007,,,Sta. Rosalia,,2015,F,3,15.1,0.086,
070315_008,,,Sta. Rosalia,,2015,F,4,18.2,0.1386,
070315_009,,,Sta. Rosalia,,2015,F,4,17.3,0.1386,
070315_011,,,Sta. Rosalia,,2015,M,4,15.4,0.0899,
070315_012,,,Sta. Rosalia,,2015,F,3,19,0.1666,
070315_013,,,Sta. Rosalia,,2015,F,3,17.5,0.1188,
070315_014,,,Sta. Rosalia,,2015,F,5,19.3,0.1799,
070315_015,,,Sta. Rosalia,,2015,F,3,16.1,0.0932,
070315_016,,,Sta. Rosalia,,2015,F,4,17.8,0.1151,
070315_017,,,Sta. Rosalia,,2015,M,5,16.6,0.1142,
070315_018,,,Sta. Rosalia,,2015,F,3,14.9,0.0803,
070315_019,,,Sta. Rosalia,,2015,F,3,16.2,0.0916,
070315_020,,,Sta. Rosalia,,2015,M,4,14.7,0.0729,
070315_021,,,Sta. Rosalia,,2015,F,3,17.7,0.1267,
070315_023,,,Sta. Rosalia,,2015,M,5,16.5,0.1038,
070315_024,,,Sta. Rosalia,,2015,F,4,17.8,0.118,
070315_025,,,Sta. Rosalia,,2015,F,4,16.8,0.1147,
070315_026,,,Sta. Rosalia,,2015,F,2,12.8,0.0455,
070315_027,,,Sta. Rosalia,,2015,M,3,13.9,0.0534,
070315_028,,,Sta. Rosalia,,2015,F,3,15.3,0.0793,
070315_030,,,Sta. Rosalia,,2015,F,5,19.7,0.1667,
070315_031,,,Sta. Rosalia,,2015,F,4,17.6,0.1258,
070315_032,,,Sta. Rosalia,,2015,F,3,14.8,0.07,
070315_034,,,Sta. Rosalia,,2015,F,3,18.3,0.141,
070315_035,,,Sta. Rosalia,,2015,F,3,16.3,0.1094,
070315_036,,,Sta. Rosalia,,2015,F,5,18.3,0.1361,
070315_037,,,Sta. Rosalia,,2015,F,3,15.4,0.0887,
070315_038,,,Sta. Rosalia,,2015,F,2,14.5,0.0685,
070315_039,,,Sta. Rosalia,,2015,F,5,21.3,0.211,
070315_040,,,Sta. Rosalia,,2015,F,5,20.7,NA,
070315_041,,,Sta. Rosalia,,2015,M,5,21.1,NA,
17E48_001,27.54,-111.714,,7,2017,F,4,22.1,0.22249,CAPEXII_022
17E48_002,27.54,-111.714,,7,2017,F,5,21,0.19836,CAPEXII_023
17E48_003,27.54,-111.714,,7,2017,M,5,24.8,0.31235,CAPEXII_024
17E48_004,27.54,-111.714,,7,2017,F,4,21.4,0.20343,CAPEXII_025
17E48_005,27.54,-111.714,,7,2017,F,3,16.2,0.10125,CAPEXII_026
17E48_006,27.54,-111.714,,7,2017,F,4,22.1,0.21888,CAPEXII_027
17E48_007,27.54,-111.714,,7,2017,F,4,17.2,0.1204,CAPEXII_028
17E48_008,27.54,-111.714,,7,2017,M,5,24.1,0.26783,CAPEXII_029
17E48_009,27.54,-111.714,,7,2017,F,5,20.7,0.21836,CAPEXII_030
17E48_010,27.54,-111.714,,7,2017,F,5,22,0.21514,CAPEXII_031
17E48_011,27.54,-111.714,,7,2017,F,5,23.8,0.28891,CAPEXII_032
17E48_012,27.54,-111.714,,7,2017,F,5,23,0.25443,CAPEXII_033
17E48_013,27.54,-111.714,,7,2017,F,4,20.6,0.18032,CAPEXII_034
17E98_001,27.108,-110.557,,7,2017,F,5,22.5,0.29197,CAPEXII_001
17E98_002,27.108,-110.557,,7,2017,F,5,26.4,0.40435,CAPEXII_002
17E98_003,27.108,-110.557,,7,2017,F,5,24.1,0.32387,CAPEXII_003
17E98_004,27.108,-110.557,,7,2017,F,5,22.7,0.27023,CAPEXII_004
17E98_005,27.108,-110.557,,7,2017,F,5,23.2,0.26845,CAPEXII_005
17E98_006,27.108,-110.557,,7,2017,F,5,24.1,0.2324,CAPEXII_006
17E98_007,27.108,-110.557,,7,2017,F,5,21.8,0.25104,CAPEXII_007
17E98_008,27.108,-110.557,,7,2017,M,5,20.1,0.17901,CAPEXII_008
17E98_009,27.108,-110.557,,7,2017,F,5,23.1,0.27236,CAPEXII_009
17E98_010,27.108,-110.557,,7,2017,F,5,23.7,0.30439,CAPEXII_010
17E98_011,27.108,-110.557,,7,2017,F,4,24.2,0.30032,CAPEXII_011
17E98_012,27.108,-110.557,,7,2017,F,5,23.5,0.32943,CAPEXII_012
17E98_013,27.108,-110.557,,7,2017,F,5,21.6,0.25326,CAPEXII_013
17E98_014,27.108,-110.557,,7,2017,F,5,24.5,0.33185,CAPEXII_014
17E98_015,27.108,-110.557,,7,2017,F,5,23.2,0.2815,CAPEXII_015
17E98_016,27.108,-110.557,,7,2017,F,5,22.7,0.26974,CAPEXII_016
17E98_017,27.108,-110.557,,7,2017,F,5,23,0.31634,CAPEXII_017
17E98_018,27.108,-110.557,,7,2017,F,5,24.1,0.33309,CAPEXII_018
17E98_019,27.108,-110.557,,7,2017,F,5,25.3,0.37627,CAPEXII_019
17E98_020,27.108,-110.557,,7,2017,M,5,24.6,0.30695,CAPEXII_020
17E98_021,27.108,-110.557,,7,2017,F,5,21.6,0.25211,CAPEXII_021
CAPEXI_001,26.75187,110.2269,,,2016,F,5,21.5,0.2236523,
CAPEXI_002,26.75187,110.2269,,,2016,F,5,18.7,0.1287188,
CAPEXI_003,26.75187,110.2269,,,2016,F,5,19,0.1337153,
CAPEXI_004,26.75187,110.2269,,,2016,F,4,19.2,0.1437083,
CAPEXI_005,26.75187,110.2269,,,2016,F,5,19.5,0.1636943,
CAPEXI_006,26.75187,110.2269,,,2016,F,4,19,0.1586978,
CAPEXI_007,26.75187,110.2269,,,2016,F,4,18,0.1287188,
CAPEXI_008,26.75187,110.2269,,,2016,F,5,19.3,0.1437083,
CAPEXI_009,26.75187,110.2269,,,2016,F,5,18.9,0.1437083,
CAPEXI_010,26.75187,110.2269,,,2016,F,5,19,0.1437083,
CAPEXI_011,26.75187,110.2269,,,2016,M,5,16.7,0.0887468,
CAPEXI_012,26.75187,110.2269,,,2016,F,5,19.6,0.1636943,
