species,id,analysis_date,fullness,full_weight_g,empty_weight_g,content_weight
Dosidicus gigas,150074,10/1/15,3,1,0.76,0.24
Dosidicus gigas,150086,10/1/15,3,0.93,0.58,0.35
Dosidicus gigas,150093,10/1/15,4,3.41,0.84,2.57
Dosidicus gigas,150097,10/1/15,2,0.68,0.56,0.12
Dosidicus gigas,151053,7/5/15,1,1.52,0.85,0.67
Dosidicus gigas,151054,7/5/15,3,1.59,0.75,0.84
Dosidicus gigas,151055,7/5/15,4,3.57,0.83,2.74
Dosidicus gigas,151056,7/5/15,3,1.99,1.17,0.82
Dosidicus gigas,151057,7/5/15,4,4.11,0.93,3.18
Dosidicus gigas,151058,7/5/15,3,1.65,NA,#VALUE!
Dosidicus gigas,151059,7/5/15,4,3.09,0.89,2.2
Dosidicus gigas,151060,7/5/15,2,3.02,1.21,1.81
Dosidicus gigas,151061,7/5/15,4,9.27,2.06,7.21
Dosidicus gigas,151062,7/5/15,1,0.47,0.27,0.2
Dosidicus gigas,151063,7/5/15,3,0.25,0.19,0.06
Dosidicus gigas,151064,7/5/15,1,0.2,0.17,0.03
Dosidicus gigas,061615_001,6/23/17,1,2.13,1.81,0.32
Dosidicus gigas,061615_002,6/23/17,3,1.52,0.83,0.69
Dosidicus gigas,061615_003,6/25/17,3,2.08,1.3,0.78
Dosidicus gigas,061615_004,6/25/17,3,2.3,1.38,0.92
Dosidicus gigas,061615_005,6/22/17,2,2.02,1.79,0.23
Dosidicus gigas,061615_006,6/25/17,2,3.04,2.56,0.48
Dosidicus gigas,061615_007,6/24/17,3,2.76,2.05,0.71
Dosidicus gigas,061615_008,6/24/17,2,2.66,2.03,0.63
Dosidicus gigas,061615_009,6/21/17,3,4.23,2.89,1.34
Dosidicus gigas,061615_011,6/21/17,4,4.89,2.63,2.26
Dosidicus gigas,061615_012,6/22/17,3,3.81,3.03,0.78
Dosidicus gigas,061615_013,6/22/17,2,2.18,1.62,0.56
Dosidicus gigas,061615_014,6/22/17,2,2.46,2.03,0.43
Dosidicus gigas,061615_015,6/25/17,3,2.67,2.08,0.59
Dosidicus gigas,061615_016,6/20/17,2,2.81,2.06,0.75
Dosidicus gigas,061615_017,6/22/17,3,2.39,1.8,0.59
Dosidicus gigas,061615_018,6/23/17,2,2.29,1.89,0.4
Dosidicus gigas,061615_019,6/22/17,3,1.22,0.9,0.32
Dosidicus gigas,061615_020,6/22/17,3,2.9,1.98,0.92
Dosidicus gigas,061615_021,6/20/17,2,2.07,1.79,0.28
Dosidicus gigas,061615_022,6/23/17,3,1.85,1.02,0.83
Dosidicus gigas,061615_023,6/24/17,3,2.92,1.94,0.98
Dosidicus gigas,061615_025,6/24/17,2,2.05,1.54,0.51
Dosidicus gigas,061615_026,6/25/17,3,2.2,1.11,1.09
Dosidicus gigas,061615_027,6/22/17,2,1.65,1.37,0.28
Dosidicus gigas,061615_028,6/20/17,3,1.59,1.25,0.34
Dosidicus gigas,061615_029,6/22/17,3,2.47,1.64,0.83
Dosidicus gigas,061615_029,6/24/17,NA,2.21,1.73,0.48
Dosidicus gigas,061615_030,6/23/17,2,2.2,1.93,0.27
Dosidicus gigas,061615_031,6/24/17,3,2.53,1.32,1.21
Dosidicus gigas,061615_032,6/23/17,2,2.34,1.87,0.47
Dosidicus gigas,062715_001,7/6/17,2,1.26,1.24,0.02
Dosidicus gigas,062715_002,7/6/17,2,1.16,1.07,0.09
Dosidicus gigas,062715_003,7/6/17,1,1.12,1.12,0
Dosidicus gigas,062715_004,7/6/17,3,1.32,0.95,0.37
Dosidicus gigas,062915_001,7/5/17,1,1.02,0.95,0.07
