"TripSetPredNo","TripSetNo","Lat","Lon","Month","Year","Sex","Mat","Length","Date","SST","Group","PropN","PredSpp"
"Dg1996_001","960906",27.34568,-112.25734,"9",1996,"F","6",69.7,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_003","960906",27.34568,-112.25734,"9",1996,"F","6",72.5,1996-09-06,28,"F_Benthosema",0.666666666666667,"Dgigas"
"Dg1996_003","960906",27.34568,-112.25734,"9",1996,"F","6",72.5,1996-09-06,28,"F_Other",0.333333333333333,"Dgigas"
"Dg1996_004","960906",27.34568,-112.25734,"9",1996,"F","4",67.4,1996-09-06,28,"C_Abraliopsis",0.125,"Dgigas"
"Dg1996_004","960906",27.34568,-112.25734,"9",1996,"F","4",67.4,1996-09-06,28,"F_Benthosema",0.875,"Dgigas"
"Dg1996_005","960906",27.34568,-112.25734,"9",1996,"M","7",69.1,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_006","960906",27.34568,-112.25734,"9",1996,"F","3",52.3,1996-09-06,28,"C_Pterygioteuthis",1,"Dgigas"
"Dg1996_007","960906",27.34568,-112.25734,"9",1996,"F","4",69.8,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_008","960906",27.34568,-112.25734,"9",1996,"F","3",59,1996-09-06,28,"F_Benthosema",0.571428571428571,"Dgigas"
"Dg1996_008","960906",27.34568,-112.25734,"9",1996,"F","3",59,1996-09-06,28,"F_Other",0.142857142857143,"Dgigas"
"Dg1996_008","960906",27.34568,-112.25734,"9",1996,"F","3",59,1996-09-06,28,"C_Pterygioteuthis",0.0714285714285714,"Dgigas"
"Dg1996_008","960906",27.34568,-112.25734,"9",1996,"F","3",59,1996-09-06,28,"F_UnID",0.214285714285714,"Dgigas"
"Dg1996_009","960906",27.34568,-112.25734,"9",1996,"F","3",49.5,1996-09-06,28,"F_Benthosema",0.5,"Dgigas"
"Dg1996_009","960906",27.34568,-112.25734,"9",1996,"F","3",49.5,1996-09-06,28,"F_UnID",0.5,"Dgigas"
"Dg1996_010","960906",27.34568,-112.25734,"9",1996,"M","7",67.2,1996-09-06,28,"C_Pterygioteuthis",0.125,"Dgigas"
"Dg1996_010","960906",27.34568,-112.25734,"9",1996,"M","7",67.2,1996-09-06,28,"F_Benthosema",0.875,"Dgigas"
"Dg1996_011","960906",27.34568,-112.25734,"9",1996,"F","3",46.2,1996-09-06,28,"F_Other",1,"Dgigas"
"Dg1996_012","960906",27.34568,-112.25734,"9",1996,"F","4",68,1996-09-06,28,"F_Benthosema",0.982758620689655,"Dgigas"
"Dg1996_012","960906",27.34568,-112.25734,"9",1996,"F","4",68,1996-09-06,28,"C_Abraliopsis",0.0172413793103448,"Dgigas"
"Dg1996_013","960906",27.34568,-112.25734,"9",1996,"F","3",54.5,1996-09-06,28,"F_Other",1,"Dgigas"
"Dg1996_014","960906",27.34568,-112.25734,"9",1996,"M","7",65,1996-09-06,28,"C_Abraliopsis",0.333333333333333,"Dgigas"
"Dg1996_014","960906",27.34568,-112.25734,"9",1996,"M","7",65,1996-09-06,28,"C_Pterygioteuthis",0.666666666666667,"Dgigas"
"Dg1996_015","960906",27.34568,-112.25734,"9",1996,"M","7",59.5,1996-09-06,28,"F_Other",0.0833333333333333,"Dgigas"
"Dg1996_015","960906",27.34568,-112.25734,"9",1996,"M","7",59.5,1996-09-06,28,"F_Benthosema",0.416666666666667,"Dgigas"
"Dg1996_015","960906",27.34568,-112.25734,"9",1996,"M","7",59.5,1996-09-06,28,"F_UnID",0.166666666666667,"Dgigas"
"Dg1996_015","960906",27.34568,-112.25734,"9",1996,"M","7",59.5,1996-09-06,28,"C_Pterygioteuthis",0.333333333333333,"Dgigas"
"Dg1996_016","960906",27.34568,-112.25734,"9",1996,"M","7",73.5,1996-09-06,28,"C_Other",1,"Dgigas"
"Dg1996_017","960906",27.34568,-112.25734,"9",1996,"F","6",72.5,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_019","960906",27.34568,-112.25734,"9",1996,"F","4",71.6,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_020","960906",27.34568,-112.25734,"9",1996,"F","7",73.6,1996-09-06,28,"C_Pterygioteuthis",0.389830508474576,"Dgigas"
"Dg1996_020","960906",27.34568,-112.25734,"9",1996,"F","7",73.6,1996-09-06,28,"F_Benthosema",0.372881355932203,"Dgigas"
"Dg1996_020","960906",27.34568,-112.25734,"9",1996,"F","7",73.6,1996-09-06,28,"F_UnID",0.203389830508475,"Dgigas"
"Dg1996_020","960906",27.34568,-112.25734,"9",1996,"F","7",73.6,1996-09-06,28,"F_Other",0.0338983050847458,"Dgigas"
"Dg1996_021","960906",27.34568,-112.25734,"9",1996,"M","7",49.5,1996-09-06,28,"C_Pterygioteuthis",0.111111111111111,"Dgigas"
"Dg1996_021","960906",27.34568,-112.25734,"9",1996,"M","7",49.5,1996-09-06,28,"F_Benthosema",0.555555555555556,"Dgigas"
"Dg1996_021","960906",27.34568,-112.25734,"9",1996,"M","7",49.5,1996-09-06,28,"F_Other",0.111111111111111,"Dgigas"
"Dg1996_021","960906",27.34568,-112.25734,"9",1996,"M","7",49.5,1996-09-06,28,"F_UnID",0.222222222222222,"Dgigas"
"Dg1996_022","960906",27.34568,-112.25734,"9",1996,"M","4",50.2,1996-09-06,28,"F_Benthosema",1,"Dgigas"
"Dg1996_023","960906",27.34568,-112.25734,"9",1996,"F","3",62.1,1996-09-06,28,"F_Benthosema",0.24,"Dgigas"
"Dg1996_023","960906",27.34568,-112.25734,"9",1996,"F","3",62.1,1996-09-06,28,"C_Pterygioteuthis",0.6,"Dgigas"
"Dg1996_023","960906",27.34568,-112.25734,"9",1996,"F","3",62.1,1996-09-06,28,"C_Abraliopsis",0.06,"Dgigas"
"Dg1996_023","960906",27.34568,-112.25734,"9",1996,"F","3",62.1,1996-09-06,28,"F_Other",0.06,"Dgigas"
"Dg1996_023","960906",27.34568,-112.25734,"9",1996,"F","3",62.1,1996-09-06,28,"F_UnID",0.04,"Dgigas"
"Dg1996_024","960908",27.34568,-112.25734,"9",1996,"F","3",61,1996-09-08,31,"F_Benthosema",0.84,"Dgigas"
"Dg1996_024","960908",27.34568,-112.25734,"9",1996,"F","3",61,1996-09-08,31,"F_Other",0.04,"Dgigas"
"Dg1996_024","960908",27.34568,-112.25734,"9",1996,"F","3",61,1996-09-08,31,"F_UnID",0.12,"Dgigas"
"Dg1996_025","960908",27.34568,-112.25734,"9",1996,"F","6",75,1996-09-08,31,"F_Benthosema",0.947368421052632,"Dgigas"
"Dg1996_025","960908",27.34568,-112.25734,"9",1996,"F","6",75,1996-09-08,31,"F_Triphoturus",0.0526315789473684,"Dgigas"
"Dg1996_026","960908",27.34568,-112.25734,"9",1996,"F","3",62.5,1996-09-08,31,"F_Benthosema",0.544642857142857,"Dgigas"
"Dg1996_026","960908",27.34568,-112.25734,"9",1996,"F","3",62.5,1996-09-08,31,"F_UnID",0.419642857142857,"Dgigas"
"Dg1996_026","960908",27.34568,-112.25734,"9",1996,"F","3",62.5,1996-09-08,31,"C_Abraliopsis",0.00892857142857143,"Dgigas"
"Dg1996_026","960908",27.34568,-112.25734,"9",1996,"F","3",62.5,1996-09-08,31,"C_Pterygioteuthis",0.0267857142857143,"Dgigas"
"Dg1996_027","960908",27.34568,-112.25734,"9",1996,"M","6",58.1,1996-09-08,31,"F_UnID",0.36,"Dgigas"
"Dg1996_027","960908",27.34568,-112.25734,"9",1996,"M","6",58.1,1996-09-08,31,"F_Benthosema",0.64,"Dgigas"
"Dg1996_028","960908",27.34568,-112.25734,"9",1996,"F","3",45.3,1996-09-08,31,"F_Benthosema",1,"Dgigas"
"Dg1996_029","961016",27.34568,-112.25734,"10",1996,"F","7",72.5,1996-10-16,NA,"C_UnID",0.5,"Dgigas"
"Dg1996_029","961016",27.34568,-112.25734,"10",1996,"F","7",72.5,1996-10-16,NA,"F_Benthosema",0.5,"Dgigas"
"Dg1996_030","961016",27.34568,-112.25734,"10",1996,"M","7",61.2,1996-10-16,NA,"F_Benthosema",0.972222222222222,"Dgigas"
"Dg1996_030","961016",27.34568,-112.25734,"10",1996,"M","7",61.2,1996-10-16,NA,"F_Triphoturus",0.0277777777777778,"Dgigas"
"Dg1996_031","961016",27.34568,-112.25734,"10",1996,"M","7",68.8,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_032","961016",27.34568,-112.25734,"10",1996,"F","4",70.7,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_033","961016",27.34568,-112.25734,"10",1996,"M","7",58,1996-10-16,NA,"C_Pterygioteuthis",0.0116279069767442,"Dgigas"
"Dg1996_033","961016",27.34568,-112.25734,"10",1996,"M","7",58,1996-10-16,NA,"F_Benthosema",0.988372093023256,"Dgigas"
"Dg1996_034","961016",27.34568,-112.25734,"10",1996,"F","4",60,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_035","961016",27.34568,-112.25734,"10",1996,"F","3",53.1,1996-10-16,NA,"F_UnID",0.0408163265306122,"Dgigas"
"Dg1996_035","961016",27.34568,-112.25734,"10",1996,"F","3",53.1,1996-10-16,NA,"F_Other",0.0204081632653061,"Dgigas"
"Dg1996_035","961016",27.34568,-112.25734,"10",1996,"F","3",53.1,1996-10-16,NA,"F_Diogenichthys",0.0204081632653061,"Dgigas"
"Dg1996_035","961016",27.34568,-112.25734,"10",1996,"F","3",53.1,1996-10-16,NA,"F_Benthosema",0.918367346938776,"Dgigas"
"Dg1996_036","961016",27.34568,-112.25734,"10",1996,"F","3",57.1,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_037","961016",27.34568,-112.25734,"10",1996,"F","4",71.5,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_038","961016",27.34568,-112.25734,"10",1996,"F","4",66.2,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_039","961016",27.34568,-112.25734,"10",1996,"F","7",78.6,1996-10-16,NA,"F_Diogenichthys",0.583333333333333,"Dgigas"
"Dg1996_039","961016",27.34568,-112.25734,"10",1996,"F","7",78.6,1996-10-16,NA,"C_Pterygioteuthis",0.0833333333333333,"Dgigas"
"Dg1996_039","961016",27.34568,-112.25734,"10",1996,"F","7",78.6,1996-10-16,NA,"F_Benthosema",0.222222222222222,"Dgigas"
"Dg1996_039","961016",27.34568,-112.25734,"10",1996,"F","7",78.6,1996-10-16,NA,"F_Other",0.111111111111111,"Dgigas"
"Dg1996_040","961016",27.34568,-112.25734,"10",1996,"F","4",64.2,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_041","961016",27.34568,-112.25734,"10",1996,"F","4",61.8,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_042","961016",27.34568,-112.25734,"10",1996,"M","7",45.5,1996-10-16,NA,"F_Benthosema",0.675675675675676,"Dgigas"
"Dg1996_042","961016",27.34568,-112.25734,"10",1996,"M","7",45.5,1996-10-16,NA,"F_Triphoturus",0.0810810810810811,"Dgigas"
"Dg1996_042","961016",27.34568,-112.25734,"10",1996,"M","7",45.5,1996-10-16,NA,"F_UnID",0.243243243243243,"Dgigas"
"Dg1996_043","961016",27.34568,-112.25734,"10",1996,"F","4",61.5,1996-10-16,NA,"F_UnID",0.0769230769230769,"Dgigas"
"Dg1996_043","961016",27.34568,-112.25734,"10",1996,"F","4",61.5,1996-10-16,NA,"M_Pteropoda",0.0769230769230769,"Dgigas"
"Dg1996_043","961016",27.34568,-112.25734,"10",1996,"F","4",61.5,1996-10-16,NA,"F_Benthosema",0.846153846153846,"Dgigas"
"Dg1996_044","961016",27.34568,-112.25734,"10",1996,"F","4",67.2,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_045","961016",27.34568,-112.25734,"10",1996,"M","7",54.3,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_046","961016",27.34568,-112.25734,"10",1996,"F","4",73.7,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_047","961016",27.34568,-112.25734,"10",1996,"F","4",65.7,1996-10-16,NA,"F_Benthosema",0.92,"Dgigas"
"Dg1996_047","961016",27.34568,-112.25734,"10",1996,"F","4",65.7,1996-10-16,NA,"F_Triphoturus",0.04,"Dgigas"
"Dg1996_047","961016",27.34568,-112.25734,"10",1996,"F","4",65.7,1996-10-16,NA,"F_Diogenichthys",0.04,"Dgigas"
"Dg1996_048","961016",27.34568,-112.25734,"10",1996,"F","6",65.3,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_049","961016",27.34568,-112.25734,"10",1996,"M","7",53.6,1996-10-16,NA,"F_Diogenichthys",0.178571428571429,"Dgigas"
"Dg1996_049","961016",27.34568,-112.25734,"10",1996,"M","7",53.6,1996-10-16,NA,"F_Benthosema",0.821428571428571,"Dgigas"
"Dg1996_050","961016",27.34568,-112.25734,"10",1996,"F","7",61.8,1996-10-16,NA,"C_Pterygioteuthis",1,"Dgigas"
"Dg1996_052","961016",27.34568,-112.25734,"10",1996,"F","3",51.7,1996-10-16,NA,"F_Benthosema",0.916666666666667,"Dgigas"
"Dg1996_052","961016",27.34568,-112.25734,"10",1996,"F","3",51.7,1996-10-16,NA,"F_Triphoturus",0.0833333333333333,"Dgigas"
"Dg1996_053","961016",27.34568,-112.25734,"10",1996,"M","7",54,1996-10-16,NA,"C_Pterygioteuthis",0.0357142857142857,"Dgigas"
"Dg1996_053","961016",27.34568,-112.25734,"10",1996,"M","7",54,1996-10-16,NA,"F_Benthosema",0.964285714285714,"Dgigas"
"Dg1996_054","961016",27.34568,-112.25734,"10",1996,"F","3",46.6,1996-10-16,NA,"M_Pteropoda",0.111111111111111,"Dgigas"
"Dg1996_054","961016",27.34568,-112.25734,"10",1996,"F","3",46.6,1996-10-16,NA,"F_Benthosema",0.888888888888889,"Dgigas"
"Dg1996_055","961016",27.34568,-112.25734,"10",1996,"F","7",68,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_056","961016",27.34568,-112.25734,"10",1996,"F","4",71.2,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_057","961016",27.34568,-112.25734,"10",1996,"M","4",50.2,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
"Dg1996_058","961016",27.34568,-112.25734,"10",1996,"F","4",71.6,1996-10-16,NA,"F_Benthosema",1,"Dgigas"
