"","cruise_int","Date_M","Lat_M","Lon_M"
"1","1.1190",20051123,27.3440528,-111.81303248
"2","1.1191",20051123,27.33886393,-111.82108239
"3","1.1192",20051123,27.33363482,-111.82918456
"4","1.1193",20051123,27.32828047,-111.83735612
"5","1.1194",20051123,27.32294168,-111.84556828
"6","1.1195",20051123,27.31767157,-111.8537502
"7","1.1196",20051123,27.31237242,-111.8618785
"8","1.1197",20051123,27.30719189,-111.86999674
"9","1.1198",20051123,27.3011923,-111.87654728
"10","1.1199",20051123,27.29920255,-111.87400516
"11","1.1200",20051123,27.29644363,-111.87528285
"12","1.1201",20051123,27.29127585,-111.88434553
"13","1.1202",20051123,27.28567971,-111.8923556
"14","1.1203",20051123,27.28030014,-111.90043141
"15","1.1204",20051123,27.27513862,-111.90867863
"16","1.1205",20051123,27.27006599,-111.9169802
"17","1.1206",20051123,27.26499119,-111.92519353
"18","1.1207",20051123,27.2598974,-111.93334551
"19","1.1208",20051123,27.25462767,-111.94174389
"20","1.1209",20051123,27.24950101,-111.95012511
"21","1.1210",20051123,27.24449065,-111.95814045
"22","1.1211",20051123,27.2389923,-111.96715027
"23","1.1212",20051123,27.23524348,-111.97508157
"24","1.1213",20051123,27.2414726,-111.98249839
"25","1.1214",20051123,27.2475221,-111.99006036
"26","1.1215",20051123,27.25345878,-111.99743503
"27","1.1216",20051123,27.25955262,-112.00497256
"28","1.1217",20051123,27.26560333,-112.01247967
"29","1.1218",20051123,27.27170032,-112.02003451
"30","1.1219",20051123,27.27780091,-112.02732528
"31","1.1220",20051123,27.28399678,-112.03471264
"32","1.1221",20051123,27.29015097,-112.04211209
"33","1.1222",20051123,27.29627155,-112.04945898
"34","1.1223",20051123,27.30238386,-112.05689881
"35","1.1224",20051123,27.30838166,-112.06435111
"36","1.1225",20051123,27.31446086,-112.07198799
"37","1.1226",20051123,27.320408,-112.07953485
"38","1.1227",20051123,27.32628908,-112.08701471
"39","1.1228",20051123,27.33227146,-112.09461879
"40","1.1229",20051123,27.33809502,-112.10227617
"41","1.1230",20051123,27.34387729,-112.11002288
"42","1.1231",20051123,27.34970645,-112.11782834
"43","1.1232",20051123,27.35545072,-112.12552642
"44","1.1233",20051123,27.36126576,-112.13331801
"45","1.1234",20051123,27.36702463,-112.1408776
"46","1.1235",20051123,27.37291081,-112.14851038
"47","1.1236",20051123,27.37881102,-112.15624331
"48","1.1237",20051123,27.38447913,-112.16379778
"49","1.1238",20051123,27.39053166,-112.17153251
"50","1.1239",20051123,27.3966327,-112.17907562
"51","1.1240",20051123,27.40275147,-112.18653547
"52","1.1241",20051123,27.40876454,-112.19381031
"53","1.1242",20051123,27.41497156,-112.2013656
"54","1.1243",20051123,27.42114859,-112.208779
"55","1.1244",20051123,27.42716585,-112.21605554
"56","1.1245",20051123,27.43337286,-112.22356168
"57","1.1246",20051123,27.4394719,-112.23084135
"58","1.1247",20051123,27.44572925,-112.23854979
"59","1.1248",20051123,27.45155422,-112.24597526
"60","1.1249",20051123,27.45742834,-112.25370224
"61","1.1250",20051123,27.46461897,-112.26294167
"62","1.1251",20051123,27.46630167,-112.26604882
"63","1.1253",20051123,27.46787939,-112.24985821
"64","1.1254",20051123,27.47206429,-112.24494554
"65","1.1255",20051123,27.47838058,-112.23780795
"66","1.1463",20051123,28.05226826,-112.01955402
"67","1.1464",20051123,28.04760428,-112.02822914
"68","1.1465",20051123,28.04304477,-112.0370804
"69","1.1466",20051123,28.03849797,-112.04582563
"70","1.1467",20051123,28.03380986,-112.05454408
"71","1.1468",20051123,28.02914024,-112.06317143
"72","1.1487",20051123,27.92483379,-112.21590451
"73","1.1488",20051123,27.91943063,-112.2240445
"74","1.1489",20051123,27.91420624,-112.2321782
"75","1.1490",20051123,27.90903219,-112.24048526
"76","1.1491",20051123,27.90386055,-112.24876059
"77","1.1492",20051123,27.89868732,-112.25706542
"78","1.1493",20051123,27.89352129,-112.26535326
"79","1.1494",20051123,27.88822527,-112.27358372
"80","1.1495",20051123,27.88292557,-112.2817503
"81","1.1496",20051123,27.87761959,-112.28998845
"82","1.1497",20051123,27.87232895,-112.29813812
"83","1.1498",20051123,27.86690242,-112.3062583
"84","1.1499",20051123,27.86141488,-112.3143657
"85","1.1500",20051123,27.85600038,-112.32244882
"86","1.1501",20051123,27.85062804,-112.33051412
"87","1.1502",20051123,27.84522884,-112.33883439
"88","1.1503",20051123,27.8399907,-112.34701278
"89","1.1504",20051123,27.83465436,-112.35521005
"90","1.1505",20051123,27.82931357,-112.36341425
"91","1.1506",20051123,27.82397082,-112.37155879
"92","1.1507",20051123,27.81858509,-112.37956032
"93","1.1508",20051123,27.81306378,-112.38761264
"94","1.1509",20051123,27.80747832,-112.39556671
"95","1.1510",20051123,27.80190552,-112.40356913
"96","1.1511",20051123,27.79631645,-112.4115203
"97","1.1512",20051123,27.79070311,-112.41949734
"98","1.1513",20051123,27.78516064,-112.42742
"99","1.1514",20051123,27.77959182,-112.4353459
"100","1.1515",20051123,27.77409883,-112.44345828
"101","1.1516",20051123,27.76853511,-112.4513972
"102","1.1517",20051123,27.76299628,-112.45929555
"103","1.1518",20051123,27.75708882,-112.46708876
"104","1.1519",20051123,27.7520711,-112.4737748
"105","1.1525",20051124,27.71569382,-112.51723713
"106","1.1526",20051124,27.72436731,-112.52241383
"107","1.1527",20051124,27.73218727,-112.52743903
"108","1.1528",20051124,27.74009824,-112.53234147
"109","1.1529",20051124,27.74795418,-112.53718537
"110","1.1530",20051124,27.75648238,-112.54062147
"111","1.1531",20051124,27.7649855,-112.54390332
"112","1.1532",20051124,27.77353546,-112.5471413
"113","1.1533",20051124,27.78202839,-112.55040906
"114","1.1534",20051124,27.79063113,-112.5536889
"115","1.1535",20051124,27.79905965,-112.55712588
"116","1.1536",20051124,27.80747567,-112.56059339
"117","1.1537",20051124,27.81587189,-112.56405404
"118","1.1538",20051124,27.82434854,-112.56772458
"119","1.1539",20051124,27.8328138,-112.57131023
"120","1.1540",20051124,27.84123934,-112.57499337
"121","1.1541",20051124,27.84963982,-112.57866483
"122","1.1542",20051124,27.8580405,-112.58261554
"123","1.1543",20051124,27.86637219,-112.58644999
"124","1.1544",20051124,27.87466311,-112.59040279
"125","1.1545",20051124,27.88289276,-112.59434311
"126","1.1546",20051124,27.89122792,-112.59834679
"127","1.1547",20051124,27.89950376,-112.60226783
"128","1.1548",20051124,27.90785798,-112.60617673
"129","1.1549",20051124,27.91616868,-112.61006024
"130","1.1550",20051124,27.92455957,-112.61400571
"131","1.1551",20051124,27.93273912,-112.61799117
"132","1.1552",20051124,27.94109347,-112.62190448
"133","1.1553",20051124,27.94945874,-112.6259048
"134","1.1554",20051124,27.95781062,-112.62948523
"135","1.1555",20051124,27.96635613,-112.63297586
"136","1.1556",20051124,27.97480797,-112.63640709
"137","1.1557",20051124,27.98327412,-112.63982621
"138","1.1558",20051124,27.99181046,-112.64328782
"139","1.1559",20051124,28.00028867,-112.64663732
"140","1.1560",20051124,28.00893954,-112.64968594
"141","1.1561",20051124,28.0176593,-112.65256229
"142","1.1562",20051124,28.02360905,-112.65471177
"143","1.1568",20051124,28.08152723,-112.66551102
"144","1.1569",20051124,28.0804383,-112.66565053
"145","1.1570",20051124,28.08650754,-112.65586435
"146","1.1571",20051124,28.09129837,-112.64712207
"147","1.1572",20051124,28.09577421,-112.63818117
"148","1.1573",20051124,28.10062259,-112.62968558
"149","1.1743",20051124,28.52016333,-112.53439154
"150","1.1744",20051124,28.51429949,-112.5420703
"151","1.1745",20051124,28.50850482,-112.54980165
"152","1.1746",20051124,28.5026191,-112.5576148
"153","1.1747",20051124,28.49682161,-112.56531252
"154","1.1748",20051124,28.4910194,-112.57309581
"155","1.1749",20051124,28.48519577,-112.58096151
"156","1.1750",20051124,28.47960462,-112.58885118
"157","1.1751",20051124,28.47392175,-112.59684222
"158","1.1752",20051124,28.46830677,-112.60471525
"159","1.1753",20051124,28.462722,-112.61278654
"160","1.1754",20051124,28.45715202,-112.62079264
"161","1.1755",20051124,28.45156465,-112.62889202
"162","1.1756",20051124,28.44604746,-112.63695632
"163","1.1757",20051124,28.44062749,-112.64505581
"164","1.1758",20051124,28.43529722,-112.65327105
"165","1.1759",20051124,28.42998017,-112.66149999
"166","1.522",20051121,25.96207883,-111.00623785
"167","1.523",20051121,25.97104604,-111.00622745
"168","1.524",20051121,25.98007269,-111.00627424
"169","1.525",20051121,25.98911667,-111.00636732
"170","1.526",20051121,25.99807851,-111.00642803
"171","1.527",20051121,26.00709329,-111.0064451
"172","1.528",20051121,26.01605018,-111.00627897
"173","1.529",20051121,26.02507309,-111.00614635
"174","1.530",20051121,26.03409096,-111.00586786
"175","1.531",20051121,26.04313802,-111.00543651
"176","1.532",20051121,26.05205112,-111.00462715
"177","1.533",20051121,26.06096524,-111.00365993
"178","1.534",20051121,26.06992933,-111.00262321
"179","1.535",20051121,26.07878699,-111.00259342
"180","1.536",20051121,26.08254932,-111.0114449
"181","1.537",20051121,26.0863034,-111.02052178
"182","1.538",20051121,26.09024509,-111.02947157
"183","1.539",20051121,26.09465064,-111.03918338
"184","1.540",20051121,26.09840242,-111.04741265
"185","1.541",20051121,26.10233053,-111.0563232
"186","1.542",20051121,26.1064007,-111.06530596
"187","1.543",20051121,26.11028841,-111.0741543
"188","1.544",20051121,26.11424729,-111.08294876
"189","1.545",20051121,26.11766456,-111.09098284
"190","1.546",20051121,26.12199682,-111.10088591
"191","1.547",20051121,26.12599008,-111.10993165
"192","1.548",20051121,26.12975396,-111.11855706
"193","1.549",20051121,26.13342022,-111.1270332
"194","1.550",20051121,26.13759036,-111.13662131
"195","1.551",20051121,26.1415251,-111.14558175
"196","1.552",20051121,26.14544788,-111.15460687
"197","1.553",20051121,26.14940709,-111.16354474
"198","1.554",20051121,26.15336611,-111.17249804
"199","1.555",20051121,26.1573492,-111.18143947
"200","1.556",20051121,26.16131224,-111.19037499
"201","1.557",20051121,26.16479631,-111.19961704
"202","1.558",20051121,26.16807667,-111.20902071
"203","1.559",20051121,26.17140001,-111.21830585
"204","1.560",20051121,26.17477399,-111.22752935
"205","1.561",20051121,26.17823175,-111.23676994
"206","1.562",20051121,26.18180115,-111.24592734
"207","1.563",20051121,26.18528484,-111.25509002
"208","1.564",20051121,26.18823145,-111.26470489
"209","1.565",20051121,26.1915177,-111.27472274
"210","1.566",20051121,26.19447827,-111.28322336
"211","1.567",20051121,26.19792099,-111.2938264
"212","1.568",20051121,26.19799135,-111.30385297
"213","1.847",20051122,26.77456339,-111.30443916
"214","1.848",20051122,26.77078754,-111.31360027
"215","1.849",20051122,26.76700704,-111.32268945
"216","1.850",20051122,26.76333305,-111.33183681
"217","1.851",20051122,26.75967094,-111.34083983
"218","1.852",20051122,26.75571925,-111.34974466
"219","1.853",20051122,26.7510285,-111.35827399
"220","1.854",20051122,26.74622202,-111.36670704
