Ref,Monthly..,year,Date,Locality,ML,Weight,SEX,Mat.Stage,prey,rostral,item,length,SL,TL,ML,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
30,30,1995,11/10/95,Guaymas,62.2,NA,M,V,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
13,13,1995,11/10/95,Guaymas,65,NA,M,,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length1,0.6,,,26.096,,,
3,3,1995,11/10/95,Guaymas,77,NA,H,V,Pterygioteuthis,,Otolith.length1,0.4,,,19.464,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length1,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length2,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length2,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length3,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length3,0.6,,,26.096,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length3,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length4,0.4,,,19.464,,,
27,27,1995,11/10/95,Guaymas,65.6,NA,H,,Pterygioteuthis,,Otolith.length4,0.5,,,22.78,,,
17,17,1995,11/10/95,Guaymas,78,NA,H,III,Pterygioteuthis,,Otolith.length4,0.5,,,22.78,,,
16,16,1995,11/10/95,Guaymas,61,NA,M,V,Pterygioteuthis,,Otolith.length5,0.4,,,19.464,,,
