Ref,Monthly..,year,Date,Locality,ML,Weight,SEX,Mat.Stage,prey,rostral,item,length,SL,TL,ML
,2,2010,6/5/10,Guaymas Basin,29,0.5,F,3,Benthosema,,Otolith.1,2.2,41.2815,51.69788,
,5,2010,6/5/10,Guaymas Basin,34.5,0.8,F,5,Benthosema,,Otolith.1,2.05,38.44125,47.94617,
,9,2010,6/5/10,Guaymas Basin,30,0.63,F,5,Benthosema,,Otolith.1,2.1,39.388,49.19674,
,23,2010,6/5/10,Guaymas Basin,29,0.43,M,5,Benthosema,,Otolith.1,2.1,39.388,49.19674,
,25,2010,6/5/10,Guaymas Basin,33,0.85,F,3,Benthosema,,Otolith.1,2.1,39.388,49.19674,
,12,2010,6/5/10,Rosalia - Marcos,22.5,0.21,F,2,Benthosema,,Otolith.1,2.1,39.388,49.19674,
,15,2010,6/5/10,Rosalia - Marcos,21.5,0.16,F,2,Benthosema,,Otolith.1,1.4,26.1335,31.68876,
,16,2010,6/5/10,Rosalia - Marcos,28.5,0.44,M,5,Benthosema,,Otolith.1,1.5,28.027,34.1899,
,21,2010,6/5/10,Rosalia - Marcos,27,0.38,F,2,Benthosema,,Otolith.1,1.7,31.814,39.19218,
,6,2010,6/9/10,San Raphael,58,5.2,F,2,Benthosema,,Otolith.1,1.85,34.65425,42.94389,
,,2010,6/11/10,San Raphael,NA,NA,,NA,Benthosema,,Otolith.1,1.85,34.65425,42.94389,
,2,2010,6/12/10,Guaymas Basin,29,0.5,F,3,Benthosema,,Otolith.1,0.8,14.7725,16.68192,
,9,2010,6/14/10,Guaymas Basin,29,0.52,F,3,Benthosema,,Otolith.1,2,37.4945,46.6956,
,14,2010,6/14/10,Guaymas Basin,26,0.38,F,2,Benthosema,,Otolith.1,1.3,24.24,29.18762,
,13,2010,6/15/10,Rosalia - Marcos,23.5,0.28,F,1,Benthosema,,Otolith.1,1.85,34.65425,42.94389,
,1,2011,6/9/11,Outside of Guaymas Harbor,38.5,1.2,Female,5,Benthosema,,Otolith.1,2.04,38.2519,47.696056,
,2,2011,6/9/11,Outside of Guaymas Harbor,39.5,1.4,Female,5,Benthosema,,Otolith.1,2.08,39.0093,48.696512,
,4,2011,6/9/11,Outside of Guaymas Harbor,30,0.6,Male,4,Benthosema,,Otolith.1,2.04,38.2519,47.696056,
,5,2011,6/9/11,Outside of Guaymas Harbor,38,1.2,Female,5,Benthosema,,Otolith.1,2.24,42.0389,52.698336,
,7,2011,6/9/11,Outside of Guaymas Harbor,38.5,1.2,Female,5,Benthosema,,Otolith.1,2.16,40.5241,50.697424,
,8,2011,6/9/11,Outside of Guaymas Harbor,35.5,1,Female,5,Benthosema,,Otolith.1,1.8,33.7075,41.69332,
,10,2011,6/9/11,Outside of Guaymas Harbor,44,1.9,Female,5,Benthosema,,Otolith.1,2.04,38.2519,47.696056,
,12,2011,6/9/11,Outside of Guaymas Harbor,40,1.5,Female,5,Benthosema,,Otolith.1,1.96,36.7371,45.695144,
,13,2011,6/9/11,Outside of Guaymas Harbor,38.5,1.2,Female,2,Benthosema,,Otolith.1,2.32,43.5537,54.699248,
,14,2011,6/9/11,Outside of Guaymas Harbor,36,1,Female,4,Benthosema,,Otolith.1,2.12,39.7667,49.696968,
,15,2011,6/9/11,Outside of Guaymas Harbor,32,NA,Female,5,Benthosema,,Otolith.1,2.4,45.0685,56.70016,
,16,2011,6/9/11,Outside of Guaymas Harbor,30,NA,Female,5,Benthosema,,Otolith.1,2,37.4945,46.6956,
,17,2011,6/9/11,Outside of Guaymas Harbor,42.5,1.9,Female,5,Benthosema,,Otolith.1,2.4,45.0685,56.70016,
,18,2011,6/9/11,Outside of Guaymas Harbor,40.5,1.4,Female,5,Benthosema,,Otolith.1,1.8,33.7075,41.69332,
,19,2011,6/9/11,Outside of Guaymas Harbor,33.5,0.8,Female,5,Benthosema,,Otolith.1,2.32,43.5537,54.699248,
,1,2011,6/10/11,South of Nolasco Island,35.5,1,Female,5,Benthosema,,Otolith.1,2.08,39.0093,48.696512,
,5,2011,6/10/11,South of Nolasco Island,36,1,Female,3,Benthosema,,Otolith.1,2.36,44.3111,55.699704,
,6,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.1,2.4,45.0685,56.70016,
,7,2011,6/10/11,South of Nolasco Island,33,0.7,Female,4,Benthosema,,Otolith.1,2.2,41.2815,51.69788,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.1,1.92,35.9797,44.694688,
,11,2011,6/10/11,South of Nolasco Island,36,1,Male,5,Benthosema,,Otolith.1,1.64,30.6779,37.691496,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.1,2.28,42.7963,53.698792,
,13,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.1,2.48,46.5833,58.701072,
,14,2011,6/10/11,South of Nolasco Island,41,1.5,Female,5,Benthosema,,Otolith.1,2.08,39.0093,48.696512,
,15,2011,6/10/11,South of Nolasco Island,38,1.1,Male,5,Benthosema,,Otolith.1,2.24,42.0389,52.698336,
,19,2011,6/10/11,South of Nolasco Island,41,1.4,Female,5,Benthosema,,Otolith.1,2.32,43.5537,54.699248,
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.1,2,37.4945,46.6956,
,23,2011,6/10/11,South of Nolasco Island,38,1.2,Female,5,Benthosema,,Otolith.1,2.08,39.0093,48.696512,
,2,2011,6/11/11,Guaymas Basin,25,NA,,NA,Benthosema,,Otolith.1,2.2,41.2815,51.69788,
,24,2011,6/11/11,Guaymas Basin,25.5,0.3,Male,3,Benthosema,,Otolith.1,2,37.4945,46.6956,
,9,2011,6/12/11,Rosalia - Marcos,30,0.6,Male,3,Benthosema,,Otolith.1,1.76,32.9501,40.692864,
,13,2011,6/12/11,Rosalia - Marcos,34,0.9,Female,2,Benthosema,,Otolith.1,2,37.4945,46.6956,
,17,2011,6/12/11,Rosalia - Marcos,25.5,0.3,Female,2,Benthosema,,Otolith.1,2.48,46.5833,58.701072,
,5,2011,6/13/11,Tortuga,35,0.9,Female,5,Benthosema,,Otolith.1,1.92,35.9797,44.694688,
,13,2011,6/13/11,Tortuga,25.5,0.4,Female,2,Benthosema,,Otolith.1,1.88,35.2223,43.694232,
,16,2011,6/13/11,Tortuga,21.5,0.2,Female,2,Benthosema,,Otolith.1,1.6,29.9205,36.69104,
,17,2011,6/13/11,Tortuga,24,0.3,Female,2,Benthosema,,Otolith.1,1.64,30.6779,37.691496,
,23,2011,6/13/11,Tortuga,29.5,0.5,Male,5,Benthosema,,Otolith.1,1.96,36.7371,45.695144,
,24,2011,6/13/11,Tortuga,27,0.4,Female,2,Benthosema,,Otolith.1,2.04,38.2519,47.696056,
,25,2011,6/13/11,Tortuga,26.5,0.4,Male,2,Benthosema,,Otolith.1,2.2,41.2815,51.69788,
,26,2011,6/13/11,Tortuga,35,0.8,Male,5,Benthosema,,Otolith.1,2,37.4945,46.6956,
,27,2011,6/13/11,Tortuga,23,0.3,Female,2,Benthosema,,Otolith.1,1.84,34.4649,42.693776,
,28,2011,6/13/11,Tortuga,27,0.5,Female,2,Benthosema,,Otolith.1,1.76,32.9501,40.692864,
,29,2011,6/13/11,Tortuga,21.5,0.2,Male,2,Benthosema,,Otolith.1,2.04,38.2519,47.696056,
,1,2011,6/14/11,San Carlos Bay,42,1.6,Female,5,Benthosema,,Otolith.1,2.16,40.5241,50.697424,
,2,2011,6/14/11,San Carlos Bay,39.5,1.2,Male,3,Benthosema,,Otolith.1,1.76,32.9501,40.692864,
,3,2011,6/14/11,San Carlos Bay,36.5,1,Female,2,Benthosema,,Otolith.1,1.88,35.2223,43.694232,
,5,2011,6/14/11,San Carlos Bay,39.5,1.5,Male,5,Benthosema,,Otolith.1,1.8,33.7075,41.69332,
,6,2011,6/14/11,San Carlos Bay,34,0.7,Male,5,Benthosema,,Otolith.1,1.84,34.4649,42.693776,
,7,2011,6/14/11,San Carlos Bay,39.5,1.2,Male,5,Benthosema,,Otolith.1,2.24,42.0389,52.698336,
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Benthosema,,Otolith.1,1.68,31.4353,38.691952,
,14,2011,6/14/11,San Carlos Bay,33,0.8,Male,3,Benthosema,,Otolith.1,2.08,39.0093,48.696512,
,16,2011,6/14/11,San Carlos Bay,37,1.3,Female,2,Benthosema,,Otolith.1,1.76,32.9501,40.692864,
